sender,receiver,timestamp,message_length
79,48,2021-06-02 05:41:34,88
79,63,2021-06-02 05:42:15,72
79,58,2021-06-02 05:44:24,86
79,70,2021-06-02 05:49:07,26
79,109,2021-06-02 19:51:47,73
79,58,2021-06-03 01:12:11,37
144,99,2021-06-03 09:54:41,33
144,105,2021-06-03 09:57:02,80
144,121,2021-06-03 09:59:16,13
177,32,2021-06-04 07:50:33,32
177,180,2021-06-04 07:59:18,85
177,180,2021-06-04 08:00:22,75
177,32,2021-06-04 08:01:10,30
177,32,2021-06-04 08:08:34,26
177,32,2021-06-04 08:10:44,44
177,32,2021-06-04 08:17:37,85
177,32,2021-06-04 08:26:16,42
186,185,2021-06-04 09:08:46,19
144,185,2021-06-05 00:51:59,67
144,32,2021-06-05 00:57:17,16
221,161,2021-06-05 02:26:19,80
221,161,2021-06-05 02:32:59,31
221,161,2021-06-05 02:39:14,82
221,161,2021-06-05 02:42:20,68
221,161,2021-06-05 02:45:21,38
221,161,2021-06-05 02:50:21,29
221,161,2021-06-05 03:04:18,48
237,32,2021-06-05 08:47:57,31
144,185,2021-06-05 10:20:13,21
144,222,2021-06-05 10:25:25,70
144,195,2021-06-05 10:32:29,34
144,88,2021-06-05 10:45:10,36
144,238,2021-06-05 10:47:16,60
144,240,2021-06-05 10:49:29,27
144,23,2021-06-05 10:58:42,78
144,32,2021-06-05 11:16:47,65
144,48,2021-06-05 11:19:34,33
144,48,2021-06-05 11:35:09,85
144,48,2021-06-05 11:39:57,69
144,241,2021-06-05 11:59:41,79
247,248,2021-06-06 00:04:45,36
144,247,2021-06-06 02:23:25,28
260,51,2021-06-06 05:40:43,59
260,51,2021-06-06 05:49:24,40
260,51,2021-06-06 06:24:19,14
260,51,2021-06-06 06:44:20,16
260,267,2021-06-06 06:44:30,42
260,51,2021-06-06 06:55:43,59
260,51,2021-06-06 06:56:55,64
144,260,2021-06-06 08:20:05,24
260,127,2021-06-06 09:22:33,24
260,199,2021-06-06 09:32:44,14
260,127,2021-06-06 09:33:04,59
260,127,2021-06-06 09:46:00,35
286,221,2021-06-06 10:23:12,24
221,3,2021-06-06 11:40:30,19
260,287,2021-06-06 12:01:39,16
260,181,2021-06-06 14:40:08,61
79,166,2021-06-06 18:05:11,14
79,256,2021-06-06 18:07:17,67
79,260,2021-06-06 18:08:37,62
221,3,2021-06-07 00:20:17,20
221,6,2021-06-07 00:23:24,25
221,211,2021-06-07 00:32:11,13
260,51,2021-06-07 02:21:56,22
260,199,2021-06-07 02:22:19,82
260,79,2021-06-07 02:22:43,35
260,211,2021-06-07 02:23:23,42
260,181,2021-06-07 02:25:03,20
128,51,2021-06-07 06:16:27,56
128,51,2021-06-07 06:20:55,22
128,236,2021-06-07 06:24:54,39
128,51,2021-06-07 06:29:11,87
128,51,2021-06-07 06:31:13,26
260,51,2021-06-07 07:05:07,31
260,79,2021-06-07 07:06:25,83
128,211,2021-06-07 07:06:29,47
286,221,2021-06-07 07:09:59,31
317,315,2021-06-07 07:11:58,84
128,51,2021-06-07 07:14:00,34
286,34,2021-06-07 07:15:38,55
317,315,2021-06-07 07:17:18,86
128,236,2021-06-07 07:18:12,27
260,51,2021-06-07 07:18:38,66
286,34,2021-06-07 07:20:35,62
286,34,2021-06-07 07:30:51,61
144,193,2021-06-07 07:36:01,28
144,288,2021-06-07 07:48:58,87
144,88,2021-06-07 07:54:39,34
144,290,2021-06-07 08:04:36,63
144,48,2021-06-07 08:09:32,28
144,51,2021-06-07 08:13:26,29
144,99,2021-06-07 08:21:36,66
144,193,2021-06-07 08:29:13,77
144,99,2021-06-07 08:32:48,18
144,322,2021-06-07 08:34:40,27
144,193,2021-06-07 08:38:45,30
144,193,2021-06-07 08:39:58,15
144,99,2021-06-07 08:41:26,49
144,99,2021-06-07 08:50:04,49
144,99,2021-06-07 08:53:52,20
144,193,2021-06-07 08:59:33,31
144,99,2021-06-07 09:01:57,21
144,193,2021-06-07 09:03:43,25
144,99,2021-06-07 09:04:22,20
144,193,2021-06-07 09:06:28,23
144,99,2021-06-07 09:08:20,25
144,48,2021-06-07 09:11:50,64
144,48,2021-06-07 09:12:09,60
144,99,2021-06-07 09:14:46,23
144,48,2021-06-07 09:15:52,40
128,329,2021-06-07 09:34:16,28
332,333,2021-06-07 09:40:43,49
128,324,2021-06-07 09:50:26,31
332,281,2021-06-07 10:11:44,77
332,281,2021-06-07 10:13:38,57
128,324,2021-06-07 10:17:06,79
332,281,2021-06-07 10:17:30,55
128,324,2021-06-07 10:21:01,37
332,281,2021-06-07 10:21:31,87
332,281,2021-06-07 10:22:56,30
332,281,2021-06-07 10:23:14,83
332,281,2021-06-07 10:23:37,56
332,281,2021-06-07 10:31:21,64
128,221,2021-06-07 10:32:03,25
260,211,2021-06-07 10:32:53,24
128,324,2021-06-07 10:33:53,61
337,281,2021-06-07 10:36:06,20
337,260,2021-06-07 10:36:55,52
337,281,2021-06-07 10:37:18,63
337,281,2021-06-07 10:39:59,79
128,329,2021-06-07 10:55:34,70
260,338,2021-06-07 11:02:18,88
260,338,2021-06-07 11:02:38,44
317,311,2021-06-07 18:44:52,22
344,209,2021-06-07 19:23:22,43
332,308,2021-06-07 21:24:20,66
317,308,2021-06-07 22:23:32,17
317,308,2021-06-07 22:25:11,74
317,308,2021-06-07 22:29:07,11
317,308,2021-06-07 22:30:30,75
317,308,2021-06-07 22:31:48,74
317,308,2021-06-07 22:32:04,74
317,308,2021-06-07 22:32:32,70
317,308,2021-06-07 22:33:08,78
317,308,2021-06-07 22:33:26,38
