date,warehouse,client_type,product_line,quantity,unit_price,total,payment
2021-06-01,Central,Retail,Miscellaneous,8,16.85,134.83,Credit card
2021-06-01,North,Retail,Breaking system,9,19.29,173.61,Cash
2021-06-01,North,Retail,Suspension & traction,8,32.93,263.45,Credit card
2021-06-01,North,Wholesale,Frame & body,16,37.84,605.44,Transfer
2021-06-01,Central,Retail,Engine,2,60.48,120.96,Credit card
2021-06-01,North,Wholesale,Suspension & traction,40,37.37,1494.8,Transfer
2021-06-01,West,Retail,Electrical system,2,27.2,54.41,Credit card
2021-06-01,Central,Retail,Breaking system,10,22.44,224.38,Credit card
2021-06-01,West,Wholesale,Frame & body,40,39.5,1579.87,Transfer
2021-06-01,North,Retail,Frame & body,6,45.44,272.61,Credit card
2021-06-01,Central,Retail,Frame & body,6,38.2,229.22,Credit card
2021-06-01,Central,Retail,Suspension & traction,6,37.45,224.71,Credit card
2021-06-02,Central,Retail,Suspension & traction,6,28.67,172.01,Credit card
2021-06-02,Central,Retail,Breaking system,9,15.1,135.92,Credit card
2021-06-02,Central,Retail,Electrical system,10,22.37,223.68,Credit card
2021-06-02,West,Retail,Breaking system,2,24.97,49.94,Credit card
2021-06-02,North,Retail,Frame & body,1,40.41,40.41,Credit card
2021-06-02,North,Retail,Miscellaneous,6,20.28,121.66,Credit card
2021-06-02,Central,Retail,Frame & body,6,40.77,244.63,Credit card
2021-06-02,West,Retail,Frame & body,8,38.61,308.89,Credit card
2021-06-03,North,Retail,Electrical system,9,20.5,184.54,Credit card
2021-06-03,North,Retail,Suspension & traction,5,36.18,180.91,Credit card
2021-06-03,North,Retail,Electrical system,5,28.33,141.67,Credit card
2021-06-03,Central,Retail,Suspension & traction,6,35.52,213.15,Credit card
2021-06-03,Central,Retail,Electrical system,1,29.31,29.31,Cash
2021-06-03,Central,Retail,Frame & body,1,48.9,48.9,Credit card
2021-06-03,West,Retail,Electrical system,2,20.19,40.37,Credit card
2021-06-03,Central,Retail,Electrical system,8,27.0,216.0,Credit card
2021-06-04,North,Retail,Suspension & traction,10,30.92,309.23,Credit card
2021-06-04,Central,Retail,Breaking system,4,19.78,79.14,Credit card
2021-06-04,Central,Retail,Frame & body,3,41.07,123.21,Credit card
2021-06-04,North,Retail,Electrical system,5,20.16,100.81,Credit card
2021-06-04,Central,Retail,Suspension & traction,1,37.03,37.03,Credit card
2021-06-04,West,Retail,Electrical system,9,27.78,249.98,Credit card
2021-06-05,Central,Retail,Breaking system,3,21.01,63.03,Credit card
2021-06-05,West,Retail,Breaking system,6,12.9,77.38,Cash
2021-06-05,North,Wholesale,Electrical system,28,29.12,815.22,Transfer
2021-06-05,Central,Retail,Miscellaneous,1,25.2,25.2,Credit card
2021-06-05,Central,Retail,Breaking system,1,20.66,20.66,Credit card
2021-06-05,North,Retail,Electrical system,7,32.31,226.19,Credit card
2021-06-05,North,Wholesale,Suspension & traction,16,36.79,588.64,Transfer
2021-06-05,North,Retail,Suspension & traction,5,32.15,160.76,Credit card
2021-06-05,Central,Wholesale,Breaking system,4,13.65,54.6,Transfer
2021-06-05,Central,Retail,Suspension & traction,9,30.9,278.07,Credit card
2021-06-05,North,Retail,Suspension & traction,4,35.44,141.77,Credit card
2021-06-05,West,Retail,Engine,7,63.15,442.04,Credit card
2021-06-06,North,Wholesale,Suspension & traction,32,34.82,1114.13,Transfer
2021-06-06,Central,Retail,Suspension & traction,4,35.36,141.46,Credit card
2021-06-06,Central,Wholesale,Engine,36,63.41,2282.82,Transfer
2021-06-06,West,Retail,Miscellaneous,10,28.25,282.47,Credit card
2021-06-06,North,Retail,Frame & body,1,35.89,35.89,Credit card
2021-06-06,North,Retail,Breaking system,5,15.16,75.78,Credit card
2021-06-06,Central,Retail,Breaking system,4,21.95,87.79,Credit card
2021-06-06,North,Retail,Breaking system,7,15.43,108.0,Credit card
2021-06-06,North,Retail,Frame & body,4,44.1,176.39,Credit card
2021-06-07,Central,Wholesale,Frame & body,4,44.69,178.75,Transfer
2021-06-07,West,Retail,Miscellaneous,3,17.87,53.61,Cash
2021-06-07,North,Retail,Frame & body,9,43.49,391.42,Credit card
2021-06-07,Central,Retail,Miscellaneous,4,28.19,112.76,Credit card
2021-06-07,Central,Retail,Breaking system,7,16.33,114.3,Credit card
2021-06-07,Central,Wholesale,Suspension & traction,40,28.64,1145.47,Transfer
2021-06-07,Central,Retail,Breaking system,6,24.6,147.61,Credit card
2021-06-07,North,Retail,Suspension & traction,9,28.59,257.31,Credit card
2021-06-07,North,Retail,Electrical system,4,29.62,118.48,Credit card
2021-06-08,North,Retail,Frame & body,5,39.52,197.62,Cash
2021-06-08,West,Retail,Breaking system,1,10.46,10.46,Credit card
2021-06-08,Central,Retail,Breaking system,10,19.21,192.05,Cash
