"YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
1992,146913,147270,146831,148082,149015,149821,150809,151064,152595,153577,153605,155504
1993,157525,156292,154774,158996,160624,160171,162832,162491,163285,164711,166593,168101
1994,167504,169652,172775,173099,172340,174307,174801,177289,178776,180569,180695,181492
1995,182423,179472,180996,181702,183543,186088,185470,186814,187338,186546,189052,190809
1996,189167,192269,193993,194712,196210,196127,196229,196215,198843,200488,200200,201191
1997,202414,204273,204965,203372,201676,204666,207049,207643,208298,208064,208982,209379
1998,209684,209532,210792,213623,214619,216324,214853,213669,215712,219465,221150,223226
1999,224020,226240,227407,228978,231238,231926,233933,236589,237516,237560,240462,245498
2000,243483,247133,249847,245789,246225,248178,247184,247601,251812,251267,250225,250603
2001,252736,252730,250346,254759,255262,254020,253015,254570,249856,268072,260363,256552
2002,256376,257677,257060,261320,257616,259815,262811,264975,260650,262011,263559,265802
2003,267276,263199,267842,267240,267347,270432,273393,277901,276413,274779,278322,277567
2004,278884,280966,286232,282971,288250,284146,287341,287909,293177,295055,296178,299766
2005,297728,299986,299958,304710,301572,311171,314562,309404,310084,311034,313282,313107
2006,322795,319887,321428,322769,321283,322795,325038,324913,323029,322747,323367,327600
2007,326922,327893,330819,329256,333889,331164,332620,333824,336431,337090,340383,336829
2008,337274,334469,334559,336101,337383,338832,336771,334481,327779,314828,302285,293959
2009,298565,297933,292857,293419,297060,301671,302901,309581,301199,303962,307190,308501
2010,309140,308807,316242,318115,315985,315379,315716,317501,320346,324941,327271,329974
2011,332752,334679,338207,339991,339664,341859,342554,342093,345332,348631,349723,349714
2012,352598,357278,359189,356541,356256,352397,354292,358479,362886,362014,363393,365669
2013,367676,372573,369575,368614,370671,372894,374280,372768,373610,374196,374691,377425
2014,373036,377666,382356,385855,385572,388226,387541,389924,388478,390183,392426,387188
2015,383889,381432,387665,387235,392268,391955,395100,394944,394429,394562,395160,NA
