GeoFips,GeoName,LineCode,Description,Income
1001,"Autauga, AL",1,Personal income (thousands of dollars),2090608
1001,"Autauga, AL",2,Population (persons) 1/,55347
1001,"Autauga, AL",3,Per capita personal income (dollars) 2/,37773
1003,"Baldwin, AL",1,Personal income (thousands of dollars),8172925
1003,"Baldwin, AL",2,Population (persons) 1/,203709
1003,"Baldwin, AL",3,Per capita personal income (dollars) 2/,40121
1005,"Barbour, AL",1,Personal income (thousands of dollars),832881
1005,"Barbour, AL",2,Population (persons) 1/,26489
1005,"Barbour, AL",3,Per capita personal income (dollars) 2/,31443
1007,"Bibb, AL",1,Personal income (thousands of dollars),656594
1007,"Bibb, AL",2,Population (persons) 1/,22583
1007,"Bibb, AL",3,Per capita personal income (dollars) 2/,29075
1009,"Blount, AL",1,Personal income (thousands of dollars),1826125
1009,"Blount, AL",2,Population (persons) 1/,57673
1009,"Blount, AL",3,Per capita personal income (dollars) 2/,31663
1011,"Bullock, AL",1,Personal income (thousands of dollars),277341
1011,"Bullock, AL",2,Population (persons) 1/,10696
1011,"Bullock, AL",3,Per capita personal income (dollars) 2/,25929
1013,"Butler, AL",1,Personal income (thousands of dollars),675525
1013,"Butler, AL",2,Population (persons) 1/,20154
1013,"Butler, AL",3,Per capita personal income (dollars) 2/,33518
1015,"Calhoun, AL",1,Personal income (thousands of dollars),3863821
1015,"Calhoun, AL",2,Population (persons) 1/,115620
1015,"Calhoun, AL",3,Per capita personal income (dollars) 2/,33418
1017,"Chambers, AL",1,Personal income (thousands of dollars),1067437
1017,"Chambers, AL",2,Population (persons) 1/,34123
1017,"Chambers, AL",3,Per capita personal income (dollars) 2/,31282
1019,"Cherokee, AL",1,Personal income (thousands of dollars),844162
1019,"Cherokee, AL",2,Population (persons) 1/,25859
1019,"Cherokee, AL",3,Per capita personal income (dollars) 2/,32645
1021,"Chilton, AL",1,Personal income (thousands of dollars),1378946
1021,"Chilton, AL",2,Population (persons) 1/,43943
1021,"Chilton, AL",3,Per capita personal income (dollars) 2/,31380
1023,"Choctaw, AL",1,Personal income (thousands of dollars),408881
1023,"Choctaw, AL",2,Population (persons) 1/,13170
1023,"Choctaw, AL",3,Per capita personal income (dollars) 2/,31046
1025,"Clarke, AL",1,Personal income (thousands of dollars),786564
1025,"Clarke, AL",2,Population (persons) 1/,24675
1025,"Clarke, AL",3,Per capita personal income (dollars) 2/,31877
1027,"Clay, AL",1,Personal income (thousands of dollars),446838
1027,"Clay, AL",2,Population (persons) 1/,13555
1027,"Clay, AL",3,Per capita personal income (dollars) 2/,32965
1029,"Cleburne, AL",1,Personal income (thousands of dollars),468704
1029,"Cleburne, AL",2,Population (persons) 1/,15018
1029,"Cleburne, AL",3,Per capita personal income (dollars) 2/,31209
1031,"Coffee, AL",1,Personal income (thousands of dollars),1993579
1031,"Coffee, AL",2,Population (persons) 1/,51211
1031,"Coffee, AL",3,Per capita personal income (dollars) 2/,38929
1033,"Colbert, AL",1,Personal income (thousands of dollars),1947562
1033,"Colbert, AL",2,Population (persons) 1/,54354
1033,"Colbert, AL",3,Per capita personal income (dollars) 2/,35831
