date,max_temp,min_temp,mean_temp,mean_rh,events,cloud_cover
2007-9-1,60,51,56,75,NA,4
2007-9-2,60,53,56,82,Rain,4
2007-9-3,57,51,54,78,NA,6
2007-9-4,64,50,57,80,Rain,6
2007-9-5,53,48,50,90,Rain,7
2007-9-6,57,42,50,69,NA,1
2007-9-7,59,41,50,77,NA,4
2007-9-8,59,46,52,80,NA,5
2007-9-9,55,50,52,88,Rain,7
2007-9-10,59,50,54,82,Rain,4
2007-9-11,57,50,54,78,NA,3
2007-9-12,59,42,50,78,NA,2
2007-9-13,62,44,53,77,NA,4
2007-9-14,62,51,56,78,NA,5
2007-9-15,66,50,58,83,Fog,4
2007-9-16,60,55,58,92,Rain,6
2007-9-17,64,51,58,87,Fog,4
2007-9-18,66,53,60,86,Rain,4
2007-9-19,66,51,58,82,Rain,4
2007-9-20,62,57,60,79,Rain,5
2007-9-21,64,53,58,74,NA,3
2007-9-22,68,50,59,83,NA,4
2007-9-23,66,55,62,89,Rain,6
2007-9-24,66,51,58,86,Rain-Thunderstorm,4
2007-9-25,59,50,54,86,Rain,3
2007-9-26,60,48,54,76,NA,3
2007-9-27,59,46,52,70,Rain,2
2007-9-28,59,44,52,71,NA,2
2007-9-29,60,46,53,75,NA,3
2007-9-30,62,53,58,84,Rain,6
2007-10-1,NA,NA,NA,NA,NA,NA
2007-10-1,64,53,58,87,Rain-Thunderstorm,5
2007-10-2,62,53,58,75,Rain,5
2007-10-3,57,48,52,73,Rain-Thunderstorm,3
2007-10-4,60,42,51,70,NA,3
2007-10-5,62,51,56,75,Rain,3
2007-10-6,64,48,56,76,NA,2
2007-10-7,69,48,58,82,NA,3
2007-10-8,69,57,63,84,Rain,5
2007-10-9,64,57,60,86,Rain,5
2007-10-10,64,59,62,91,Rain,5
2007-10-11,62,53,58,80,Rain,4
2007-10-12,62,51,56,73,Rain,4
2007-10-13,64,51,58,82,Rain,6
2007-10-14,60,51,56,71,Rain,4
2007-10-15,62,51,56,77,Rain,5
2007-10-16,62,55,58,75,Rain,3
2007-10-17,66,55,62,84,Rain,5
2007-10-18,59,48,54,84,Rain,5
2007-10-19,57,44,50,71,Rain,2
2007-10-20,59,44,52,78,Rain,4
2007-10-21,60,55,58,73,NA,4
2007-10-22,60,53,58,80,Rain,5
2007-10-23,66,53,60,80,NA,4
2007-10-24,62,57,60,90,Rain,6
2007-10-25,60,55,58,75,NA,3
2007-10-26,60,55,58,72,NA,6
2007-10-27,62,53,58,73,Rain,5
2007-10-28,60,50,55,78,Rain,6
2007-10-29,64,50,57,71,NA,4
2007-10-30,64,48,56,68,NA,1
2007-10-31,66,50,58,72,NA,1
2007-11-1,68,50,59,82,Rain,5
2007-11-2,66,57,62,81,NA,6
2007-11-3,69,53,61,79,NA,4
2007-11-4,64,60,62,86,Rain,6
2007-11-5,64,57,60,83,Rain,7
2007-11-6,57,51,54,86,Rain,6
2007-11-7,62,51,56,84,Rain,5
2007-11-8,62,53,58,67,NA,5
2007-11-9,64,55,60,68,NA,3
2007-11-10,64,48,56,76,NA,2
2007-11-11,69,48,58,72,NA,1
2007-11-12,66,51,58,77,Rain,3
2007-11-13,64,51,58,76,Rain,4
2007-11-14,60,51,56,76,Rain,4
2007-11-15,62,53,58,67,NA,3
2007-11-16,64,55,60,81,Rain,6
2007-11-17,66,51,58,75,NA,3
2007-11-18,66,57,62,75,NA,5
2007-11-19,66,51,58,83,NA,3
2007-11-20,68,55,62,81,NA,3
2007-11-21,69,53,61,81,NA,2
2007-11-22,66,53,60,80,NA,3
2007-11-23,69,53,61,77,Rain,5
2007-11-24,69,57,63,82,Rain,6
2007-11-25,68,59,64,81,NA,2
2007-11-26,66,59,62,75,NA,4
2007-11-27,66,57,62,71,NA,5
2007-11-28,68,55,62,75,Rain,4
2007-11-29,64,53,58,77,Rain,6
2007-11-30,66,57,62,77,Rain,5
2007-12-1,69,53,61,78,NA,3
2007-12-2,71,59,65,84,Rain,6
2007-12-3,68,59,64,79,NA,4
2007-12-4,71,57,64,69,NA,6
2007-12-5,69,59,64,86,Rain,6
2007-12-6,71,62,66,93,Rain,7
2007-12-7,69,57,63,72,Rain,6
2007-12-8,75,55,65,70,Rain,3
2007-12-9,68,64,66,88,Rain,6
2007-12-10,69,66,68,82,Rain,6
2007-12-11,68,64,66,81,Rain,7
2007-12-12,71,62,66,80,Rain,5
2007-12-13,73,60,66,79,NA,4
2007-12-14,75,59,67,74,NA,5
2007-12-15,71,60,66,74,NA,6
2007-12-16,73,60,66,72,Rain,5
2007-12-17,75,62,68,81,Rain,5
2007-12-18,77,66,72,87,Rain,6
2007-12-19,71,62,66,84,Rain,7
2007-12-20,68,60,64,75,Rain,5
2007-12-21,68,57,62,82,Rain,5
2007-12-22,69,59,64,73,Rain,6
2007-12-23,71,55,63,67,NA,3
2007-12-24,75,59,67,71,Rain,3
2007-12-25,73,59,66,84,Rain,7
2007-12-26,66,53,60,70,Rain,4
2007-12-27,68,55,62,65,Rain,3
2007-12-28,71,59,65,71,NA,5
2007-12-29,71,60,66,75,NA,3
2007-12-30,71,57,64,72,NA,1
2007-12-31,75,60,68,80,Rain,5
2008-1-1,75,60,68,69,NA,3
2008-1-2,75,60,68,70,NA,3
2008-1-3,75,57,66,77,NA,2
2008-1-4,75,62,68,73,NA,5
2008-1-5,75,62,68,69,NA,7
2008-1-6,77,64,70,74,NA,6
2008-1-7,77,66,72,79,NA,5
2008-1-8,73,64,68,86,Rain,6
2008-1-9,71,64,68,88,Rain,6
2008-1-10,71,64,68,75,Rain,3
2008-1-11,77,62,70,61,NA,3
2008-1-12,75,60,68,61,NA,3
2008-1-13,77,57,67,66,NA,1
2008-1-14,77,59,68,71,NA,2
2008-1-15,77,62,70,74,NA,3
2008-1-16,78,68,73,74,NA,4
2008-1-17,73,66,70,76,NA,5
2008-1-18,78,64,71,75,NA,4
2008-1-19,82,64,73,60,NA,2
2008-1-20,80,60,70,64,Rain,5
2008-1-21,73,69,71,91,Rain,7
2008-1-22,78,69,74,84,Rain,6
2008-1-23,71,64,68,79,Rain,6
2008-1-24,78,62,70,67,NA,3
2008-1-25,78,62,70,71,NA,3
2008-1-26,78,59,68,67,NA,1
2008-1-27,73,60,66,69,NA,1
2008-1-28,75,64,70,72,NA,3
2008-1-29,77,66,72,72,NA,4
2008-1-30,80,64,72,75,NA,2
2008-1-31,78,68,73,71,NA,4
2008-2-1,77,66,72,73,NA,4
2008-2-2,80,64,72,75,NA,4
2008-2-3,75,66,70,82,Rain,5
2008-2-4,80,62,71,79,NA,3
2008-2-5,78,62,71,62,NA,2
2008-2-6,75,53,64,55,NA,1
2008-2-7,75,53,64,57,NA,1
2008-2-8,77,57,67,66,NA,2
2008-2-9,77,57,67,75,NA,4
2008-2-10,78,68,74,88,Rain,6
2008-2-11,78,66,72,78,NA,5
2008-2-12,75,62,68,77,Rain,4
2008-2-13,77,60,68,71,NA,3
2008-2-14,69,64,66,83,Rain,5
2008-2-15,73,60,66,74,Rain,5
2008-2-16,71,59,65,69,Rain,4
2008-2-17,73,62,68,67,NA,5
2008-2-18,73,64,68,66,NA,6
2008-2-19,75,59,67,75,NA,4
2008-2-20,75,62,68,72,NA,3
2008-2-21,75,60,68,67,Rain,5
2008-2-22,71,64,68,73,Rain,6
2008-2-23,68,64,66,89,Rain,7
2008-2-24,75,66,70,89,Rain,6
2008-2-25,75,64,70,78,Rain,4
2008-2-26,73,62,68,70,NA,3
2008-2-27,71,59,65,65,NA,4
2008-2-28,75,60,68,74,NA,2
2008-2-29,77,60,68,75,NA,3
2008-3-1,75,68,72,89,Rain,7
2008-3-2,71,66,68,84,Rain,6
2008-3-3,75,60,68,77,NA,3
2008-3-4,68,60,64,79,Rain,7
2008-3-5,69,60,64,75,Rain,5
2008-3-6,71,57,64,73,Rain,4
2008-3-7,71,59,65,82,NA,3
2008-3-8,73,57,65,78,NA,2
2008-3-9,71,57,64,79,NA,2
2008-3-10,73,60,66,74,NA,2
2008-3-11,75,60,68,80,Rain,3
2008-3-12,71,62,66,71,NA,4
2008-3-13,75,59,67,74,NA,4
2008-3-14,75,62,70,80,NA,5
2008-3-15,75,59,67,75,NA,3
2008-3-16,73,64,68,76,NA,3
2008-3-17,75,59,67,68,NA,0
2008-3-18,73,60,66,77,NA,3
2008-3-19,71,60,66,76,NA,3
2008-3-20,73,60,66,79,NA,3
2008-3-21,75,57,66,82,Fog,1
2008-3-22,73,59,66,78,NA,2
2008-3-23,77,55,66,76,Rain,2
2008-3-24,75,62,68,76,Rain,5
2008-3-25,73,59,66,74,NA,5
2008-3-26,75,60,68,74,NA,4
2008-3-27,75,60,68,75,NA,2
2008-3-28,75,62,68,75,Rain,5
2008-3-29,73,62,68,70,NA,5
2008-3-30,77,64,70,72,NA,5
2008-3-31,71,66,68,80,NA,5
2008-4-1,71,66,68,87,Rain,7
2008-4-2,69,60,64,67,NA,3
2008-4-3,69,53,61,85,Rain,5
2008-4-4,71,57,64,67,NA,3
2008-4-5,71,55,63,75,NA,5
2008-4-6,71,55,63,81,NA,3
2008-4-7,71,57,64,81,NA,4
2008-4-8,69,57,63,70,NA,3
2008-4-9,68,51,60,64,NA,1
2008-4-10,69,48,58,74,NA,1
2008-4-11,69,50,60,80,NA,2
2008-4-12,68,53,60,77,Rain,5
2008-4-13,66,59,62,77,Rain,4
2008-4-14,68,60,64,90,Rain,6
2008-4-15,68,64,66,91,Rain-Thunderstorm,5
2008-4-16,69,60,64,93,NA,6
2008-4-17,69,60,66,89,Rain,5
2008-4-18,68,59,64,82,Rain,4
2008-4-19,64,53,60,69,NA,5
2008-4-20,60,46,53,65,NA,3
2008-4-21,62,44,53,73,NA,1
2008-4-22,66,57,62,84,Rain,6
2008-4-23,64,57,60,77,Rain,6
2008-4-24,66,60,63,76,NA,6
2008-4-25,64,55,60,84,NA,5
2008-4-26,68,55,62,81,NA,6
2008-4-27,69,60,66,93,Fog-Rain,5
2008-4-28,71,57,64,93,Fog,6
2008-4-29,68,64,66,93,Rain,6
2008-4-30,68,59,64,84,Rain,4
2008-5-1,62,55,58,81,Rain,5
2008-5-2,64,55,60,74,Rain,4
2008-5-3,59,51,56,74,Rain,5
2008-5-4,59,50,54,91,Rain,6
2008-5-5,66,55,60,88,Rain,5
2008-5-6,60,51,56,82,Rain,4
2008-5-7,60,46,53,79,NA,2
2008-5-8,62,42,52,84,NA,3
2008-5-9,62,50,56,90,Fog-Rain,5
2008-5-10,64,51,58,90,Rain,4
2008-5-11,64,57,60,82,Rain,3
2008-5-12,60,48,55,76,NA,1
2008-5-13,59,44,52,77,NA,1
2008-5-14,62,48,55,86,Rain,4
2008-5-15,62,46,54,89,Fog,1
2008-5-16,60,44,52,95,Fog,2
2008-5-17,62,42,52,90,NA,1
2008-5-18,62,44,53,87,NA,2
2008-5-19,62,50,56,87,Rain,4
2008-5-20,60,53,56,82,Rain,4
2008-5-21,59,51,55,84,Rain,4
2008-5-22,60,48,54,81,NA,6
2008-5-23,64,46,55,84,NA,4
2008-5-24,60,51,56,79,NA,5
2008-5-25,60,44,52,79,NA,4
