date,Mkt-RF,SMB,HML,RF,pf_returns
2016-01-04,-1.59,-0.83,0.53,0.0,-1.6517447399633725
2016-01-05,0.12,-0.22,0.01,0.0,0.40816072172050955
2016-01-06,-1.35,-0.12,0.0,0.0,0.3255554719235171
2016-01-07,-2.44,-0.29,0.08,0.0,-0.6982589673231918
2016-01-08,-1.11,-0.47,-0.03,0.0,-0.9593523455835962
2016-01-11,-0.06,-0.65,0.34,0.0,0.6047433828972054
2016-01-12,0.71,-0.4,-0.77,0.0,0.5860249443326742
2016-01-13,-2.67,-0.7,0.78,0.0,-2.9157515529329814
2016-01-14,1.65,-0.01,-0.41,0.0,0.7753928146975552
2016-01-15,-2.14,0.42,-0.21,0.0,-1.9058156353602358
2016-01-19,-0.2,-1.34,-0.07,0.0,0.6815879035323809
2016-01-20,-0.94,1.85,-1.24,0.0,-0.2880880576078971
2016-01-21,0.45,-0.49,0.01,0.0,-0.005624258429035148
2016-01-22,2.08,0.22,-0.19,0.0,2.0659307725821923
2016-01-25,-1.71,-0.37,-0.98,0.0,-0.5401360741143301
2016-01-26,1.52,0.38,1.22,0.0,0.7228865383801685
2016-01-27,-1.11,-0.54,1.72,0.0,-1.7361717529652516
2016-01-28,0.49,-0.47,1.26,0.0,2.0827257964318737
2016-01-29,2.57,0.46,0.37,0.0,1.6868966756194137
2016-02-01,-0.04,-0.21,-0.96,0.001,1.0343474701813506
2016-02-02,-2.0,-0.03,-0.34,0.001,-1.0687856284757442
2016-02-03,0.46,-0.32,0.44,0.001,-0.9238536769792728
2016-02-04,0.27,0.2,0.32,0.001,-1.4018700765043246
2016-02-05,-2.06,-1.1,1.75,0.001,-2.4773990150002647
2016-02-08,-1.51,-0.02,0.9,0.001,-2.1176144504867973
2016-02-09,-0.1,-0.47,-0.29,0.001,0.35725649695981776
2016-02-10,0.01,-0.05,-0.56,0.001,0.4240873948879505
2016-02-11,-1.17,0.5,-1.47,0.001,-0.14705249561673078
2016-02-12,1.98,-0.54,1.14,0.001,1.5418267597967514
2016-02-16,1.78,0.55,-0.56,0.001,1.2715243686625224
2016-02-17,1.75,-0.05,-0.63,0.001,1.463904429059243
2016-02-18,-0.51,0.0,0.21,0.001,-0.6512945364494467
2016-02-19,0.06,0.43,-0.62,0.001,0.23473611128149344
2016-02-22,1.43,-0.27,0.24,0.001,1.5230660195978671
2016-02-23,-1.22,0.47,-0.52,0.001,-0.38048440091295144
2016-02-24,0.53,0.68,-0.32,0.001,0.8688766022874853
2016-02-25,1.1,-0.43,0.23,0.001,1.46901320670356
2016-02-26,-0.01,0.82,0.26,0.001,-0.5218079341482103
2016-02-29,-0.69,0.66,0.26,0.001,-0.8612103877247408
2016-03-01,2.34,-0.64,0.3,0.001,2.229444120257085
2016-03-02,0.54,0.5,0.71,0.001,-0.1261006042228041
2016-03-03,0.51,0.44,0.64,0.001,0.3005752727288489
2016-03-04,0.37,0.27,0.28,0.001,0.13728416083561365
2016-03-07,0.21,1.21,0.54,0.001,-0.9229925919669847
2016-03-08,-1.27,-1.14,-0.49,0.001,-0.5628167150540089
2016-03-09,0.5,0.04,0.38,0.001,0.34609610841614413
2016-03-10,-0.11,-0.81,0.63,0.001,0.43632373959444154
2016-03-11,1.69,0.27,0.19,0.001,2.136234391842267
2016-03-14,-0.12,-0.07,-0.87,0.001,-0.2720043758701541
2016-03-15,-0.36,-1.43,0.67,0.001,-0.1398979156158964
2016-03-16,0.63,0.1,-0.04,0.001,1.0866728755784774
2016-03-17,0.72,0.84,0.58,0.001,-0.06834881666774999
2016-03-18,0.54,0.34,-0.19,0.001,0.43475980003384146
2016-03-21,0.1,-0.2,-0.31,0.001,0.16914609915326823
2016-03-22,-0.05,-0.01,-0.45,0.001,0.2319458277116259
2016-03-23,-0.86,-1.17,-0.09,0.001,0.05384191352136868
2016-03-24,0.0,0.47,-0.06,0.001,-0.36387906212522997
2016-03-28,0.04,-0.03,0.14,0.001,0.2087056789528053
2016-03-29,1.07,1.77,-1.18,0.001,0.9075372258737269
2016-03-30,0.41,-0.29,0.14,0.001,0.025138937160511875
2016-03-31,-0.11,0.44,-0.48,0.001,-0.424867184023627
2016-04-01,0.64,-0.25,-0.62,0.0,1.41899897145042
2016-04-04,-0.41,-0.25,-0.74,0.0,-0.7219810891337951
