date,S&P500,WML,value_factor,portfolio
2016-01-04,-1.5303730981790182,-1.69,-1.53,-1.6517447399633725
2016-01-05,0.2012226074739071,0.38,0.1,0.40816072172050955
2016-01-06,-1.3115396617014987,1.27,-1.22,0.3255554719235171
2016-01-07,-2.3700443039098285,0.21,-2.38,-0.6982589673231918
2016-01-08,-1.0838374634476389,-0.2,-0.91,-0.9593523455835962
2016-01-11,0.08532723085775347,1.24,0.28,0.6047433828972054
2016-01-12,0.7802798638371756,0.94,0.77,0.5860249443326742
2016-01-13,-2.496545260273252,-0.52,-2.83,-2.9157515529329814
2016-01-14,1.6695905641396367,-0.36,1.37,0.7753928146975552
2016-01-15,-2.1599098121784093,0.24,-2.02,-1.9058156353602358
2016-01-19,0.05318215544080818,0.96,0.0,0.6815879035323809
2016-01-20,-1.1693855152753438,0.49,-0.87,-0.2880880576078971
2016-01-21,0.519543826464333,-1.84,0.76,-0.005624258429035148
2016-01-22,2.028370093089691,-0.41,2.0,2.0659307725821923
2016-01-25,-1.563798186831424,1.35,-1.29,-0.5401360741143301
2016-01-26,1.4144335682203713,-1.72,1.38,0.7228865383801685
2016-01-27,-1.0863483946818713,-0.55,-1.55,-1.7361717529652516
2016-01-28,0.5528577110863419,0.05,0.56,2.0827257964318737
2016-01-29,2.476021748183284,-0.84,2.06,1.6868966756194137
2016-02-01,-0.044323640602821734,0.55,0.26,1.0343474701813506
2016-02-02,-1.8743091042644824,1.2,-1.84,-1.0687856284757442
2016-02-03,0.4992038935398218,-2.65,0.67,-0.9238536769792728
2016-02-04,0.1526732629409628,-2.15,0.37,-1.4018700765043246
2016-02-05,-1.8481246133065947,-0.76,-1.96,-2.4773990150002647
2016-02-08,-1.4153935962584503,0.39,-1.24,-2.1176144504867973
2016-02-09,-0.06636201005447462,1.56,0.08,0.35725649695981776
2016-02-10,-0.01889505009523969,0.8,-0.14,0.4240873948879505
2016-02-11,-1.2301161634528346,0.42,-1.03,-0.14705249561673078
2016-02-12,1.9518049434029336,-1.16,1.85,1.5418267597967514
2016-02-16,1.6516654254666407,-0.91,1.85,1.2715243686625224
2016-02-17,1.64804390873187,-1.82,1.7,1.463904429059243
2016-02-18,-0.4665713586089409,0.08,-0.45,-0.6512945364494467
2016-02-19,-0.002603306922159567,1.1,-0.09,0.23473611128149344
2016-02-22,1.4454197343192787,-1.12,1.41,1.5230660195978671
2016-02-23,-1.2454371626831184,1.07,-0.91,-0.38048440091295144
2016-02-24,0.443978665736949,-0.08,0.62,0.8688766022874853
2016-02-25,1.1348275180813878,0.36,1.06,1.46901320670356
2016-02-26,-0.1870114306315372,-1.61,-0.22,-0.5218079341482103
2016-02-29,-0.8120976670040306,-0.44,-0.64,-0.8612103877247408
2016-03-01,2.3868792264573044,-0.56,2.3,2.229444120257085
2016-03-02,0.4094308437972685,-1.33,0.03,-0.1261006042228041
2016-03-03,0.3498740552965357,-1.62,0.38,0.3005752727288489
2016-03-04,0.3305892405266673,-0.9,0.4,0.13728416083561365
2016-03-07,0.08850144294974127,-1.5,0.16,-0.9229925919669847
2016-03-08,-1.1240108648189049,2.86,-0.97,-0.5628167150540089
2016-03-09,0.5052393293188396,-0.2,0.39,0.34609610841614413
2016-03-10,0.015580467030042976,0.38,-0.01,0.43632373959444154
2016-03-11,1.639550047766957,-1.72,1.52,2.136234391842267
2016-03-14,-0.12609725467921026,0.1,-0.04,-0.2720043758701541
2016-03-15,-0.1836941718546818,1.41,-0.2,-0.1398979156158964
2016-03-16,0.5600351548705103,-0.78,0.79,1.0866728755784774
2016-03-17,0.6595236427847926,-1.02,0.62,-0.06834881666774999
2016-03-18,0.4405643539266504,-0.7,0.3,0.43475980003384146
2016-03-21,0.0985577495450232,-0.13,0.2,0.16914609915326823
2016-03-22,-0.08773878504659463,0.1,-0.08,0.2319458277116259
2016-03-23,-0.6386031655324604,2.15,-0.7,0.05384191352136868
2016-03-24,-0.03780705229240696,-0.03,0.03,-0.36387906212522997
2016-03-28,0.05452557698998718,0.43,0.07,0.2087056789528053
2016-03-29,0.8816651809226127,0.19,1.08,0.9075372258737269
2016-03-30,0.4350315062455628,-0.19,0.59,0.025138937160511875
