date,GE,JPM,MSFT,PG
2015-01-02,25.06,62.49,46.76,90.44
2015-01-05,24.6,60.55,46.325,90.01
2015-01-06,24.07,58.98,45.65,89.6
2015-01-07,24.08,59.07,46.23,90.07
2015-01-08,24.37,60.39,47.59,91.1
2015-01-09,24.03,59.34,47.19,90.25
2015-01-12,23.98,58.83,46.6,89.92
2015-01-13,23.86,58.84,46.355,90.3
2015-01-14,23.78,56.81,45.955,89.99
2015-01-15,23.58,54.99,45.48,89.86
2015-01-16,23.59,55.93,46.24,91.25
2015-01-20,23.85,55.71,46.39,91.19
2015-01-21,24.04,55.89,45.92,90.73
2015-01-22,24.28,57.59,47.13,91.62
2015-01-23,24.48,56.68,47.18,90.08
2015-01-26,24.59,56.77,47.01,89.58
2015-01-27,24.38,56.2,42.66,86.49
2015-01-28,23.84,54.75,41.19,85.15
2015-01-29,24.08,55.67,42.01,85.67
2015-01-30,23.89,54.38,40.4,84.29
2015-02-02,24.21,55.47,41.28,85.12
2015-02-03,24.47,56.72,41.6,85.95
2015-02-04,24.16,56.38,41.84,85.79
2015-02-05,24.5,56.77,42.45,86.7
2015-02-06,24.52,57.89,42.41,85.61
2015-02-09,24.64,57.82,42.36,85.05
2015-02-10,24.72,58.46,42.6,85.39
2015-02-11,24.77,58.37,42.38,85.64
2015-02-12,24.89,59.57,43.09,86.03
2015-02-13,25.15,59.67,43.87,85.9
2015-02-17,25.17,60.1,43.58,85.49
2015-02-18,25.25,59.37,43.53,86.26
2015-02-19,25.01,59.23,43.5,85.21
2015-02-20,25.21,59.8,43.855,84.87
2015-02-23,25.17,59.35,44.15,85.39
2015-02-24,25.39,60.82,44.09,85.5
2015-02-25,25.91,61.14,43.99,85.46
2015-02-26,25.89,61.58,44.055,85.17
2015-02-27,25.99,61.28,43.85,85.13
2015-03-02,26.11,61.77,43.88,85.41
2015-03-03,25.86,61.97,43.28,85.16
2015-03-04,25.66,62.13,43.055,84.35
2015-03-05,25.82,62.0,43.11,84.63
2015-03-06,25.42,60.89,42.36,82.66
2015-03-09,25.64,61.5,42.85,83.09
2015-03-10,25.17,59.96,42.03,81.54
2015-03-11,25.19,60.24,41.98,81.39
2015-03-12,25.4,61.37,41.02,82.09
2015-03-13,25.04,61.0,41.38,81.83
2015-03-16,25.45,61.85,41.56,83.56
2015-03-17,25.31,61.61,41.695,82.85
2015-03-18,25.64,61.75,42.5,83.75
2015-03-19,25.33,61.2,42.285,83.38
2015-03-20,25.4,61.75,42.88,84.74
2015-03-23,25.47,61.14,42.855,84.86
2015-03-24,25.27,60.46,42.9,83.92
2015-03-25,24.91,59.61,41.46,83.01
2015-03-26,24.8,59.54,41.21,82.15
2015-03-27,24.86,59.55,40.97,82.31
2015-03-30,25.12,60.96,40.96,82.72
2015-03-31,24.81,60.58,40.655,81.94
2015-04-01,24.84,59.95,40.72,82.32
2015-04-02,24.94,60.52,40.29,82.43
2015-04-06,25.18,60.47,41.545,83.04
2015-04-07,25.02,60.85,41.53,82.39
2015-04-08,25.01,61.05,41.42,82.77
2015-04-09,25.73,61.47,41.48,82.89
2015-04-10,28.51,61.7,41.72,83.35
2015-04-13,27.63,62.07,41.76,83.43
2015-04-14,27.73,63.04,41.65,83.6
2015-04-15,27.46,64.21,42.255,83.51
2015-04-16,27.28,63.81,42.16,83.5
2015-04-17,27.25,62.84,41.615,82.53
2015-04-20,27.02,63.24,42.905,82.87
2015-04-21,26.62,62.31,42.635,83.08
2015-04-22,26.91,62.94,42.985,83.09
2015-04-23,26.85,62.8,43.34,80.95
2015-04-24,26.8,62.6,47.87,81.0
2015-04-27,26.88,62.34,48.03,80.6
2015-04-28,27.12,62.76,49.155,80.42
2015-04-29,27.09,63.6,49.06,79.85
2015-04-30,27.08,63.26,48.64,79.51
2015-05-01,27.31,63.61,48.655,80.29
2015-05-04,27.27,64.72,48.24,80.35
2015-05-05,26.92,64.4,47.6,80.07
2015-05-06,26.81,63.92,46.28,80.4
2015-05-07,27.04,64.5,46.7,80.2
2015-05-08,27.36,65.49,47.75,80.96
2015-05-11,26.92,65.45,47.37,80.27
2015-05-12,27.03,65.36,47.35,79.95
2015-05-13,27.21,65.52,47.625,79.7
2015-05-14,27.41,66.05,48.72,80.57
2015-05-15,27.27,65.88,48.295,81.05
2015-05-18,27.31,66.42,48.01,80.74
2015-05-19,27.35,67.01,47.58,80.83
2015-05-20,27.64,66.48,47.58,80.48
2015-05-21,27.72,66.65,47.42,80.41
2015-05-22,27.68,66.47,46.9,79.95
2015-05-26,27.52,65.73,46.59,79.14
2015-05-27,27.52,66.47,47.61,79.39
2015-05-28,27.63,66.2,47.45,79.33
2015-05-29,27.27,65.78,46.86,78.39
2015-06-01,27.28,66.08,47.23,78.85
2015-06-02,27.33,66.02,46.92,78.54
2015-06-03,27.53,66.7,46.85,78.56
2015-06-04,27.26,66.33,46.36,78.15
2015-06-05,27.29,67.42,46.14,77.43
2015-06-08,27.24,66.89,45.73,77.71
2015-06-09,27.33,67.18,45.65,78.9
2015-06-10,27.63,68.26,46.61,79.54
2015-06-11,27.51,68.52,46.44,79.41
2015-06-12,27.39,68.25,45.97,78.87
2015-06-15,27.21,67.99,45.475,78.12
2015-06-16,27.22,68.37,45.83,79.1
2015-06-17,27.27,68.14,45.97,80.08
2015-06-18,27.37,68.78,46.72,80.82
2015-06-19,27.24,68.08,46.1,80.54
2015-06-22,27.42,68.96,46.23,80.45
2015-06-23,27.55,69.75,45.91,79.79
2015-06-24,27.26,69.02,45.635,79.51
2015-06-25,27.04,68.65,45.65,79.39
2015-06-26,27.09,68.95,45.26,79.34
2015-06-29,26.64,67.2,44.37,78.32
2015-06-30,26.57,67.76,44.15,78.24
2015-07-01,26.66,68.07,44.445,79.72
2015-07-02,26.78,67.52,44.4,79.93
2015-07-06,26.31,67.33,44.39,80.05
2015-07-07,26.47,66.8,44.3,81.72
2015-07-08,25.89,65.43,44.24,80.99
2015-07-09,26.02,66.11,44.52,80.66
2015-07-10,26.27,67.05,44.61,80.95
2015-07-13,26.47,68.09,45.54,81.91
2015-07-14,26.66,69.04,45.62,82.04
2015-07-15,26.77,69.19,45.76,82.15
2015-07-16,27.04,69.56,46.66,82.3
2015-07-17,27.24,69.21,46.62,82.24
2015-07-20,27.14,69.26,46.92,82.19
2015-07-21,26.85,69.1,47.28,81.63
2015-07-22,26.63,70.08,45.54,80.83
2015-07-23,26.26,69.64,46.11,80.7
2015-07-24,25.75,68.91,45.94,80.29
2015-07-27,25.95,68.01,45.35,79.97
2015-07-28,26.1,68.05,45.34,80.23
2015-07-29,26.26,68.94,46.29,80.62
2015-07-30,26.12,69.04,46.88,77.39
2015-07-31,26.1,68.53,46.7,76.7
2015-08-03,25.87,68.53,46.81,76.4
2015-08-04,25.9,68.46,47.54,75.91
2015-08-05,26.1,68.73,47.58,75.77
2015-08-06,26.03,68.25,46.62,75.74
2015-08-07,25.79,68.05,46.74,75.48
2015-08-10,26.24,68.89,47.33,76.38
2015-08-11,25.71,68.23,46.41,76.22
2015-08-12,25.86,67.24,46.74,76.39
2015-08-13,25.79,67.55,46.73,75.78
2015-08-14,26.08,67.89,47.0,75.62
2015-08-17,26.21,68.07,47.32,75.53
2015-08-18,26.07,68.21,47.27,75.13
2015-08-19,25.73,67.6,46.61,74.12
2015-08-20,25.19,65.94,45.66,73.91
2015-08-21,24.59,63.6,43.07,71.84
2015-08-24,23.87,60.25,41.68,69.14
2015-08-25,23.27,59.91,40.47,68.42
2015-08-26,24.01,62.91,42.71,70.9
