,INCIDENT_DATE,AIRPORT_ID,AIRPORT,ATYPE,TYPE_ENG,SPECIES,DAMAGE,NUM_ENGS,TIME_OF_DAY,ENROUTE,LOCATION,HEIGHT,SPEED,DISTANCE,PHASE_OF_FLT,SKY,PRECIP,BIRDS_SEEN,BIRDS_STRUCK,SIZE,WARNED
0,2018-04-30,KOAK,METRO OAKLAND INTL,B-737-700,Turbofan,Cliff swallow,None,2.0,Day,,,0.0,,0.0,Landing Roll,Overcast,None,,2 to 10,Small,Y
1,2018-04-29,KLAX,LOS ANGELES INTL,B-757-300,Turbofan,Unknown bird,,2.0,Day,,,0.0,100.0,0.0,Take-off run,No Cloud,None,1,1,,
2,2018-04-29,KSFO,SAN FRANCISCO INTL ARPT,A-320,Turbofan,Western sandpiper,None,2.0,Day,,,0.0,100.0,0.0,Landing Roll,Some Cloud,None,,2 to 10,Small,N
3,2018-04-28,KLGB,LONG BEACH-DAUGH FLD,UNKNOWN,,Red-tailed hawk,,,,,,,,0.0,,,,,1,Medium,
4,2018-04-28,KLAX,LOS ANGELES INTL,B-737-800,Turbofan,Wilson's warbler,None,2.0,,,,,,,Approach,,,,1,Small,
5,2018-04-27,KSFO,SAN FRANCISCO INTL ARPT,A-321,Turbofan,Western sandpiper,None,2.0,Day,,,20.0,120.0,0.0,Climb,Some Cloud,None,,2 to 10,Small,N
6,2018-04-27,KOAK,METRO OAKLAND INTL,UNKNOWN,,Ring-billed gull,,,,,,,,0.0,,,,,1,Medium,
7,2018-04-27,KSFO,SAN FRANCISCO INTL ARPT,UNKNOWN,,White-tailed kite,,,,,,,,0.0,,,,,1,Medium,
8,2018-04-26,KSBP,SAN LUIS COUNTY REGIONAL ARPT,C-172,Reciprocating,White-throated swift,None,1.0,,,1.5 miles on approach,,,1.5,Approach,No Cloud,None,,1,Small,
9,2018-04-26,KLAX,LOS ANGELES INTL,A-321,Turbofan,Warbling vireo,None,2.0,Day,,Found at KLAX,,,,,,,,1,Small,
10,2018-04-26,KSCK,STOCKTON METRO,UNKNOWN,,Swainson's hawk,,,,,,,,0.0,,,,,1,Medium,
11,2018-04-26,KHHR,JACK NORTHROP FIELD/HAWTHORNE MUNI ARPT,PA-12,Reciprocating,Mourning dove,None,1.0,Day,,,0.0,5.0,0.0,Taxi,No Cloud,None,1,1,Small,
12,2018-04-26,KONT,ONTARIO INTL ARPT,A-321,Turbofan,Unknown bird,,2.0,Dawn,,,400.0,,,Climb,Some Cloud,None,,1,,N
13,2018-04-26,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,B-737-700,Turbofan,Barn swallow,None,2.0,Day,,,,,,Approach,No Cloud,None,,1,Small,Y
14,2018-04-25,KSFO,SAN FRANCISCO INTL ARPT,A-330,Turbofan,Western sandpiper,None,2.0,Night,,,4000.0,,,Approach,Some Cloud,None,,2 to 10,Small,
15,2018-04-25,KSFO,SAN FRANCISCO INTL ARPT,A-320,Turbofan,Unknown bird or bat,None,2.0,Night,,,10000.0,,,Descent,,,,1,,
16,2018-04-24,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,UNKNOWN,,Red-tailed hawk,,,,,,,,0.0,,,,,1,Medium,
17,2018-04-24,KSBA,SANTA BARBARA MUNICIPAL,CRJ100/200,Turbofan,Cliff swallow,None,2.0,Day,,,50.0,120.0,0.0,Climb,Overcast,Fog,,2 to 10,Small,Y
18,2018-04-24,KLAX,LOS ANGELES INTL,B-777-200,Turbofan,Western tanager,None,2.0,Day,,,,,,Approach,Some Cloud,None,1,1,Small,Y
19,2018-04-24,KSTS,CHARLES M. SCHULZ-SONOMA COUNTY ARPT,DHC8 DASH 8,Turboprop,Turkey vulture,None,2.0,,,,0.0,,0.0,Landing Roll,No Cloud,None,1,1,Large,
20,2018-04-24,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,B-737-700,Turbofan,Western sandpiper,None,2.0,Dusk,,,,,,Arrival,No Cloud,None,,1,Small,Y
21,2018-04-23,KSBA,SANTA BARBARA MUNICIPAL,CRJ100/200,Turbofan,Barn swallow,None,2.0,Day,,,200.0,,,Climb,Some Cloud,Fog,1,1,Small,
22,2018-04-23,KLAX,LOS ANGELES INTL,UNKNOWN,,California gull,,,Day,,,,,0.0,,,,,1,Medium,
23,2018-04-23,KLGB,LONG BEACH-DAUGH FLD,A-320,Turbofan,Perching birds (y),None,2.0,Day,,,250.0,140.0,1.0,Approach,Some Cloud,None,1,1,Small,Y
24,2018-04-22,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,B-737-800,Turbofan,Unknown bird - small,None,2.0,Day,,,1500.0,,,Approach,No Cloud,None,1,1,Small,Y
25,2018-04-22,KOAK,METRO OAKLAND INTL,UNKNOWN,,Red-winged blackbird,,,,,,,,0.0,,,,,1,Small,
26,2018-04-22,KSFO,SAN FRANCISCO INTL ARPT,B-757-200,Turbofan,Canada goose,None,2.0,Day,,,0.0,140.0,0.0,Landing Roll,No Cloud,None,1,1,Large,N
27,2018-04-21,KSAN,SAN DIEGO INTL,B-737-700,Turbofan,Unknown bird - small,None,2.0,Night,,,8500.0,250.0,,Descent,No Cloud,None,,1,Small,N
28,2018-04-21,KOAK,METRO OAKLAND INTL,UNKNOWN,,Mourning dove,,,,,,,,0.0,,,,,1,Small,
29,2018-04-20,KLAX,LOS ANGELES INTL,UNKNOWN,,Great blue heron,,,,,,,,0.0,,,,,1,Large,
30,2018-04-20,KTRM,JACQUELINE COCHRAN REGIONAL ARPT,CITATIONJET,Turbofan,Coyote,Minor,2.0,,,,0.0,100.0,0.0,Landing Roll,No Cloud,None,2 to 10,1,Large,N
31,2018-04-20,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,B-737-900,Turbofan,Yellow-rumped warbler,None,2.0,Night,,,,,,Approach,No Cloud,None,,1,Small,Y
32,2018-04-20,KCNO,CHINO AIRPORT,MOONEY M20,,Unknown bird - small,None,1.0,Day,,,20.0,80.0,0.0,Approach,No Cloud,None,,1,Small,
33,2018-04-19,KCNO,CHINO AIRPORT,C-172,Reciprocating,Swallows,None,1.0,Day,,,20.0,60.0,0.0,Local,Some Cloud,None,2 to 10,2 to 10,Small,Y
34,2018-04-19,KSMF,SACRAMENTO INTL,A-321,Turbofan,Swainson's hawk,None,2.0,Dawn,,,0.0,,0.0,Take-off run,No Cloud,None,,1,Medium,Y
35,2018-04-18,KOAK,METRO OAKLAND INTL,MD-11,Turbofan,Unknown bird - small,None,3.0,Night,,,2100.0,140.0,6.5,Approach,No Cloud,None,1,1,Small,Y
36,2018-04-18,KSMF,SACRAMENTO INTL,A-320,Turbofan,Savannah sparrow,None,2.0,Night,,,300.0,,1.0,Approach,No Cloud,None,1,1,Small,Y
37,2018-04-18,KBUR,BOB HOPE ARPT,PA-30 TWIN COMANCHE,Reciprocating,Cliff swallow,None,2.0,Day,,,0.0,,0.0,Take-off run,No Cloud,None,2 to 10,1,Small,N
38,2018-04-17,KSNA,JOHN WAYNE-ORANGE COUNTY ARPT,B-737-800,Turbofan,Unknown bird - small,None,2.0,Day,,,20.0,140.0,0.0,Approach,Some Cloud,None,1,1,Small,N
39,2018-04-17,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,B-737-800,Turbofan,Barn swallow,None,2.0,Day,,,,,,Approach,No Cloud,None,1,1,Small,Y
40,2018-04-17,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,B-787-9,Turbofan,Unknown bird or bat,None,2.0,,,,0.0,,0.0,Take-off run,No Cloud,None,,1,,
41,2018-04-16,KMYF,MONTGOMERY FIELD ARPT,PA-28,Reciprocating,Hawks,None,1.0,Day,,,200.0,80.0,,Approach,Some Cloud,None,1,1,Medium,N
