,Year,Month,Total
0,2012,10,2265.344827586207
1,2012,11,1688.2333333333333
2,2012,12,1173.1935483870968
3,2013,1,1447.8709677419354
4,2013,2,1786.6785714285713
5,2013,3,2131.9032258064517
6,2013,4,2399.9333333333334
7,2013,5,3502.3870967741937
8,2013,6,3309.3333333333335
9,2013,7,3805.6129032258063
10,2013,8,3372.548387096774
11,2013,9,2690.9666666666667
12,2013,10,2624.2580645161293
13,2013,11,1975.6666666666667
14,2013,12,1404.9354838709678
15,2014,1,1931.3870967741937
16,2014,2,1679.4642857142858
17,2014,3,2048.1935483870966
18,2014,4,2895.1666666666665
19,2014,5,3827.2258064516127
20,2014,6,3696.9
21,2014,7,3892.548387096774
22,2014,8,3628.7096774193546
23,2014,9,3251.9333333333334
24,2014,10,2683.3548387096776
25,2014,11,1899.6666666666667
26,2014,12,1564.741935483871
27,2015,1,1955.8064516129032
28,2015,2,2094.964285714286
29,2015,3,2294.967741935484
30,2015,4,2789.9
31,2015,5,3476.6129032258063
32,2015,6,3790.5666666666666
33,2015,7,3638.064516129032
34,2015,8,3333.9032258064517
35,2015,9,3038.0
36,2015,10,2677.516129032258
37,2015,11,1888.9333333333334
38,2015,12,1419.0967741935483
39,2016,1,1668.8064516129032
40,2016,2,2082.103448275862
41,2016,3,2251.7419354838707
42,2016,4,3121.3
43,2016,5,3682.548387096774
44,2016,6,3587.233333333333
45,2016,7,3409.1290322580644
46,2016,8,3625.1612903225805
47,2016,9,3138.5666666666666
48,2016,10,2254.2903225806454
49,2016,11,2136.5666666666666
50,2016,12,1256.032258064516
51,2017,1,1606.6129032258063
52,2017,2,1500.0357142857142
53,2017,3,1895.0645161290322
54,2017,4,2280.4333333333334
55,2017,5,3519.0
56,2017,6,5154.133333333333
57,2017,7,3835.6129032258063
58,2017,8,3877.032258064516
59,2017,9,3216.6
60,2017,10,2843.3225806451615
61,2017,11,1922.8
62,2017,12,1479.4193548387098
63,2018,1,2660.3225806451615
64,2018,2,1809.892857142857
65,2018,3,2493.032258064516
66,2018,4,2664.9
67,2018,5,4187.5161290322585
